Measures->,8,12,16,24,32,48,64,96,128,192,256,384,512
BPM,,,,,,,,,,,,,
100,8,8,9,9,10,10,10,11,11,11,11,12,12
110,8,9,9,10,10,10,11,11,12,12,12,13,13
120,9,9,10,10,11,11,12,12,12,13,13,13,13
130,9,10,10,11,11,12,12,13,13,13,14,14,14
140,10,10,11,11,12,12,13,13,13,14,14,14,15
150,10,11,11,12,12,13,13,14,14,15,15,15,16
160,11,11,12,12,12,13,14,14,15,15,16,16,16
170,11,12,12,13,13,14,14,15,15,16,16,17,17
180,12,12,13,13,13,14,15,15,16,16,17,17,18
190,12,13,13,14,14,15,15,16,17,17,18,18,19
200,13,13,14,14,15,15,16,17,17,18,19,19,20
210,13,14,14,15,15,16,17,18,18,19,20,20,21
220,14,14,15,16,16,17,18,19,19,20,21,22,22
230,14,15,16,16,17,18,19,20,20,21,22,22,23
240,15,16,16,17,18,19,20,21,22,23,23,24,24
250,16,17,18,18,19,20,21,22,23,24,24,25,25
260,17,18,19,19,21,22,23,23,24,25,25,26,26
270,18,19,20,21,22,23,24,25,25,26,26,27,27
280,19,20,21,22,23,24,25,26,26,27,27,28,28
290,20,21,22,23,24,25,26,27,27,28,28,29,29
300,21,22,23,24,24,25,26,27,28,29,30,30,30
310,22,23,24,24,25,26,27,28,29,29,30,31,31
320,22,23,24,25,26,27,28,29,30,30,31,32,32
330,23,24,25,26,26,28,29,30,31,31,32,32,33
340,24,25,26,27,27,29,30,31,31,32,32,33,34
350,25,26,27,28,28,30,30,31,32,33,33,34,35
360,26,27,27,28,29,30,31,32,33,34,34,35,36
370,27,28,28,29,30,32,32,33,34,34,35,36,37
380,28,29,29,30,31,33,34,34,35,36,36,37,38
390,29,30,31,32,33,34,35,35,36,37,37,38,39
400,30,31,32,33,34,35,36,37,37,38,39,39,40
410,31,32,33,34,35,36,37,38,38,39,40,40,41
420,32,33,34,35,36,37,38,39,39,40,41,42,42
430,33,34,35,36,37,38,39,39,40,41,42,43,43
440,34,35,36,37,38,39,40,40,41,42,43,44,44
450,35,36,37,38,39,40,40,41,42,43,44,45,45
